AL713999.1	1	-	155169408,155169654,155172428	0.00106635,0.000696006,0.00106115	4,2,1
BCL10	1	-	85265775	0.0010805	2
CD52	1	+	26320433	0.0763359	10
ETV3	1	-	157133144	0.00320856	3
HIST2H2AA4	1	+	149851548	0.047619	2
IFI16	1	+	159055044	0.013986	2
JMJD4	1	-	227731188	0.00166251	2
LAPTM5	1	-	30732468	0.00441501	6
NBPF10	1	-	146064698	0.001853	3
NBPF14	1	-	148531384	0.000130585	6
RPS27	1	+	153991673,153992150	0.216957,0.0665527	21,12
SSR2	1	-	156009047	0.000294551	3
TXNIP	1	-	145992434	0.00141243	2
UQCRH	1	+	46316660	0.000714994	4
AL360181.3	10	+	133420462	0.037037	11
ATP5MD	10	-	103389040	0.00125802	3
MTG1	10	+	133420462	0.037037	11
NDUFB8	10	-	100526397	0.00154053	4
NUDT5	10	-	12167737	0.000642055	2
RPS24	10	+	78040697	0.0352903	3
SEC61A2	10	+	12169961	0.000910747	2
SLC25A16	10	-	68478000	0.000368256	1
AP001931.1	11	+	57742244,57742971	0.0404883,0.070763	1,9
AP002990.1	11	-	62559602	0.00196573	29
ATP5MG	11	+	118408990	0.00146699	3
CFL1	11	-	65854674	0.00453858	3
CORO1B	11	-	67435509	0.00393887	20
CYB561A3	11	-	61348744	0.000461787	2
EEF1G	11	-	62559600	0.025641	2
PPP1R32	11	+	61490787	0.0184332	4
PTPRCAP	11	-	67435509	0.058296	13
RBM14-RBM4	11	+	66640047	0.0414938	10
RPL27A	11	+	8685583	0.00420148	6
RPS25	11	-	119015711,119017315	0.00250157,0.015188	5,9
SELENOH	11	+	57742244,57742971	0.0404883,0.070763	1,9
UCP2	11	-	73974666	0.00486618	2
ARPC3	12	-	110434824	0.00606061	2
ATP5MC2	12	-	53665165	0.0202703	3
CD69	12	-	9752485	0.0080402	8
HVCN1	12	-	110648685	0.00828729	6
NACA	12	-	56712427,56712746	0.00599316,0.00525469	6,4
RPL41	12	+	56117826	0.192053	58
RPLP0	12	-	120196685,120197232	0.0552147,0.00279851	9,6
TUBA1B	12	-	49127781	0.000808407	2
RPL21	13	+	27256335,27256496	0.0404286,0.0650461	6,13
AKT1	14	-	104769348	0.000813339	2
HSP90AA1	14	-	102082664	0.000733945	2
IGHD	14	-	105836764	0.00518135	2
IGHM	14	-	105851704,105854219	0.0957854,0.0162602	25,2
PSME1	14	+	24138806	0.0121759	3
RPS29	14	-	49583571	0.0421053	4
MYO9A	15	-	72010377	0.000279258	4
PPIB	15	-	64155811	0.00947867	2
SERF2	15	+	43793856	0.0361446	3
AC093512.2	16	+	30070420	0.00106415	7
CORO7-PAM16	16	-	4340250,4340830	0.000240997,8.4209e-05	5,1
LONP2	16	+	48357349	3.43572e-05	3
PAM16	16	-	4340247,4340827	0.00351661,0.00398381	4,2
RPL13	16	+	89562391,89562962,89563250	0.0147423,0.170004,0.0278293	1,35,11
RPS15A	16	-	18783023,18784738,18788063	0.00291118,0.146443,0.10323	4,19,8
RPS2	16	-	1962051,1962459	0.0765027,0.0156115	14,19
TNRC6A	16	+	24826226	0.000292447	13
YPEL3	16	-	30092313	0.000817996	2
AATF	17	+	37056756	0.0217391	2
AC120057.2	17	-	7240426	0.00240192	3
ACTG1	17	-	81509970	0.00417246	3
C17orf49	17	+	7017415	0.0644834	11
C1QBP	17	-	5432776	0.00840336	2
CD79B	17	-	63928739	0.00823045	4
EIF1	17	+	41691255	0.00699301	3
KRT10	17	-	40818116	0.00557103	2
P4HB	17	-	81843158	0.000123541	2
PFN1	17	-	4945651	0.016129	4
PSMB3	17	+	38762438	0.00105097	2
RNASEK-C17orf49	17	+	7017419	0.0510204	5
RPL26	17	-	8377515,8379765	0.0945946,0.0371991	14,34
UBB	17	+	16382701	0.0384615	4
AC003002.2	19	+	57438352	0.030303	6
AC008763.3	19	+	7682605	0.0344828	4
AC010616.2	19	-	41956878	0.00097561	2
BAX	19	+	48961674,48961592	0.0034662,0.00264901	2,2
CD79A	19	+	41881150	0.0352941	6
COPE	19	-	18899890	0.000591366	2
DEDD2	19	-	42198597	0.00238095	2
EEF2	19	-	3976055	0.0060241	3
GMFG	19	-	39328352	0.0016116	2
JUNB	19	+	12793315	0.032	16
JUND	19	-	18279759	0.00293686	2
LYL1	19	-	13099032	0.0104895	3
MYO9B	19	+	17203361	0.0175439	3
NDUFA11	19	-	5894674	0.000295465	2
PRKACA	19	-	14091687	0.00140449	2
RPL18	19	-	48615327,48615855,48616057	0.06,0.14084,0.00723821	6,18,5
RPL28	19	+	55388045,55388370	0.0963106,0.0605735	3,9
RPL36	19	+	5691629	0.0252101	3
RPS11	19	+	49499509,49499634	0.000921019,0.00324231	1,5
RPS15	19	+	1440471	0.0716098	9
RPS16	19	-	39433206	0.0521173	16
RPS19	19	+	41869191	0.00379219	20
RPS28	19	+	8322089,8322340	0.115052,0.0277822	1,2
RPS5	19	+	58394802	0.0384615	2
RPS9	19	+	54207577,54207520	0.06629,0.0104712	11,10
TEAD2	19	-	49340594	0.00274348	1
ZNF490	19	-	12577960	0.000792393	2
AC068547.1	2	-	151802650	5.97059e-05	4
BIN1	2	-	127048026	0.00400802	1
COPS8	2	+	237087657	0.0540541	8
CXCR4	2	-	136114348	0.00769231	4
EEF1B2	2	+	206162086	0.00131579	2
GALM	2	+	38741234	0.03125	2
IGKC	2	-	88857160	0.08	16
PTMA	2	+	231712573	0.00171821	2
RPL31	2	+	101006386	0.00429389	9
RPL37A	2	+	216500032,216501445	0.0923099,0.0381339	6,5
TMSB10	2	+	84906612	0.0846561	16
YPEL5	2	+	30160531	0.00177725	3
CPNE1	20	-	35626030	0.0026738	1
RPS21	20	+	62387912,62388484	0.0516558,0.0079632	7,4
SNRPB	20	-	2461633	0.000711238	4
SOD1	21	+	31668749	0.00584795	1
CNBP	3	-	129169483	0.00309598	3
GPX1	3	-	49357170	0.00739827	6
RPL29	3	-	51993521	0.0132036	19
RPL35A	3	+	197955806	0.00267201	12
SCAP	3	-	47413693	0.000161786	2
TMA7	3	+	48444003	0.0247934	3
CCNI	4	-	77047157	0.00188501	2
HNRNPDL	4	-	82422563	0.00141789	6
RPS3A	4	+	151104286,151104586,151104117	0.100831,0.11203,0.114237	4,18,15
BTF3	5	+	73505408	0.0176471	3
CD74	5	-	150401636	0.0191617	32
DUSP1	5	-	172768089	0.016369	11
RACK1	5	-	181236908	0.000295334	2
GPSM3	6	-	32190765	0.00272727	3
HLA-B	6	-	31353871	0.0130933	8
HLA-DOB	6	-	32812762	0.000828844	2
HLA-DPB1	6	+	33086765	0.0420662	12
HLA-DRB1	6	-	32578879	0.061446	12
HLA-DRB5	6	-	32517342	0.00505051	2
LTB	6	-	31580554	0.0109562	11
RPS10	6	-	34417453	0.00685871	5
ACTB	7	-	5527146	0.00842993	15
URGCP-MRPS24	7	-	43866557	0.000823723	2
AC022826.2	8	-	73688690,73712783	0.000166437,9.20608e-05	8,2
FBXO16	8	-	28348286	0.000157617	2
RPL8	8	-	144789765	0.0118157	18
RPS20	8	-	56072946	0.00811908	6
XKR6	8	-	11111644	0.00123508	3
FBXW5	9	-	136940434	0.00127146	2
PAX5	9	-	36833274	4.10307e-05	2
RPL35	9	-	124857879	0.00679117	4
ST6GALNAC6	9	-	127885320	0.00453515	10
BCAP31	X	-	153700491	0.00449438	2
IDS	X	-	149502659	0.00377358	2
RPL36A	X	+	101395739	0.017195	6
RPL39	X	-	119786505	0.0842697	15
SLC25A6	X	-	1386151	0.00444444	2
TMSB4X	X	+	12977174	0.0991736	36
