AC114490.2	1	-	34981532	0.00334868	8
AL713999.1	1	-	155169408	0.014451	15
APH1A	1	-	150265398	0.00267142	3
ARID4B	1	-	235131633	0.000101368	3
ASH1L	1	-	155481410,155496752	0.000131031,0.000358087	5,8
ATAD3B	1	+	1495955	0.0144928	2
CD2	1	+	116768967	0.0271739	5
CD247	1	-	167430639	0.00288184	3
CD52	1	+	26320458	0.0512821	8
DENND2D	1	-	111187173	0.00464037	2
EFHD2	1	+	15428829	0.0275229	3
GJA9-MYCBP	1	-	38864502	0.000326691	3
GUK1	1	+	228148797	0.03	3
HDGF	1	-	156742106	0.00149031	2
LAMTOR5	1	-	110401248	0.0109489	3
LCK	1	+	32285829	0.0176991	2
MINOS1	1	+	19626472	0.028169	2
PARK7	1	+	7985170	0.0172414	2
PRDX1	1	-	45511035	0.00682594	2
RBBP4	1	+	32686208	0.000172712	3
RPS27	1	+	153991675,153992154	0.35,0.0869565	35,8
S100A10	1	-	151982914	0.00806452	2
S100A4	1	-	153543612	0.0136986	2
SSR2	1	-	156009047	0.000196367	2
TMEM35B	1	-	34981534	0.0195599	8
TPM3	1	-	154155303	0.000387212	6
UBXN11	1	-	26281327	0.00411946	4
UQCRH	1	+	46310391	0.0127389	2
WASF2	1	-	27404225	0.000757002	3
ADAM8	10	-	133262402	0.00233281	3
ANXA11	10	-	80150888	0.000362319	2
FBH1	10	+	5937387	0.0186916	1
NDUFB8	10	-	100523936	0.000551572	3
PRF1	10	-	70597347	0.00283688	2
RPS24	10	+	78040647	0.000747105	2
TIAL1	10	-	119588166	0.000755858	4
VDAC2	10	+	75231209	0.00909091	2
AHNAK	11	-	62515904	0.00238379	2
AP002990.1	11	-	62559602	0.00171918	25
AP003419.1	11	-	67351571	0.00472813	2
ARFIP2	11	-	6474682	0.000513084	1
CCDC85B	11	+	65891486	0.0319149	2
CORO1B	11	-	67435509	0.00267482	14
COX8A	11	+	63976372	0.0384615	2
CTSW	11	+	65883739	0.0416667	10
DNHD1	11	+	6549035	0.000481649	5
EEF1G	11	-	62559600	0.025641	2
EIF4G2	11	-	10797049	0.00391645	2
FAU	11	-	65120627	0.0171566	14
HSPA8	11	-	123057488	0.0244898	6
IFITM1	11	+	315264	0.0993377	14
IFITM2	11	+	315264	0.0993377	14
ILK	11	+	6610871	0.0003335	2
PTPRCAP	11	-	67435509	0.0403587	9
RARRES3	11	+	63546415	0.0251572	4
RNF141	11	-	10518317	0.00280899	2
RPL27A	11	+	8684762,8685747	0.00299462,0.044755	2,13
RPS25	11	-	119015711,119017341	0.00307526,0.0187485	6,11
RPUSD4	11	-	126202093	0.00226586	3
SSSCA1	11	+	65571568	0.0116279	2
TMEM123	11	-	102396331	0.000788955	2
UCP2	11	-	73974666	0.00486618	2
AC023055.1	12	-	55757274	0.00843882	1
AC048338.1	12	-	122207778	0.000283126	3
AC073610.2	12	-	48921962	0.0460829	10
ARHGDIB	12	-	14942016	0.00792079	4
ARPC3	12	-	110434824	0.0121212	4
CD27	12	+	6451542	0.0133333	2
COX6A1	12	+	120440634	0.0206186	2
DYNLL1	12	+	120498237	0.0283019	3
FKBP11	12	-	48921958	0.00410735	10
GAPDH	12	+	6538266	0.03125	3
HNRNPA1	12	+	54286676	0.00211595	5
KLRG1	12	+	9010759	0.00572831	7
MYL6	12	+	56161486	0.0017316	2
NACA	12	-	56712427,56712701	0.00400819,0.00878729	4,7
PHB2	12	-	6965351	0.00182315	2
PYM1	12	-	55901412	0.00653595	3
RPL41	12	+	56117814	0.265517	77
RPLP0	12	-	120196685	0.00111483	3
LCP1	13	-	46125919	0.00299222	5
N4BP2L1	13	-	32400722	0.000302267	6
RPL21	13	+	27256332,27256533	0.115588,0.0694414	17,15
CALM1	14	+	90404876	0.00707547	3
DAD1	14	-	22564904	0.000195065	2
